baseline,baseline_value,benchmark,delta,lower_is_better,metric,outcome,ranc_value,seed,task
robust,0.9708748899383655,openml_spambase,0.0002273273032898926,False,auroc,win,0.9711022172416554,2,classification
selector,0.983153766109021,openml_spambase,-0.012051548867365702,False,auroc,loss,0.9711022172416554,2,classification
standard,0.9837104072398191,openml_tic_tac_toe,-0.007633287428683966,False,auroc,loss,0.9760771198111351,0,classification
robust,0.9758016919142238,openml_tic_tac_toe,0.00027542789691126224,False,auroc,win,0.9760771198111351,0,classification
selector,0.9837104072398191,openml_tic_tac_toe,-0.007633287428683966,False,auroc,loss,0.9760771198111351,0,classification
standard,0.9890374747317681,openml_tic_tac_toe,-0.004548281760223927,False,auroc,loss,0.9844891929715441,1,classification
robust,0.9842948219561499,openml_tic_tac_toe,0.00019437101539421242,False,auroc,win,0.9844891929715441,1,classification
selector,0.9890374747317681,openml_tic_tac_toe,-0.004548281760223927,False,auroc,loss,0.9844891929715441,1,classification
standard,0.995260663507109,openml_tic_tac_toe,-0.0039052132701421494,False,auroc,loss,0.9913554502369668,2,classification
robust,0.9912037914691944,openml_tic_tac_toe,0.00015165876777245568,False,auroc,win,0.9913554502369668,2,classification
selector,0.995260663507109,openml_tic_tac_toe,-0.0039052132701421494,False,auroc,loss,0.9913554502369668,2,classification
standard,0.7845117845117845,openml_vehicle,0.0033670033670033517,False,accuracy,win,0.7878787878787878,0,classification
robust,0.7508417508417509,openml_vehicle,0.03703703703703698,False,accuracy,win,0.7878787878787878,0,classification
selector,0.7508417508417509,openml_vehicle,0.03703703703703698,False,accuracy,win,0.7878787878787878,0,classification
standard,0.7777777777777778,openml_vehicle,0.010101010101010055,False,accuracy,win,0.7878787878787878,1,classification
robust,0.7710437710437711,openml_vehicle,0.01683501683501676,False,accuracy,win,0.7878787878787878,1,classification
selector,0.7777777777777778,openml_vehicle,0.010101010101010055,False,accuracy,win,0.7878787878787878,1,classification
standard,0.7575757575757576,openml_vehicle,0.010101010101010055,False,accuracy,win,0.7676767676767676,2,classification
robust,0.7407407407407407,openml_vehicle,0.026936026936026924,False,accuracy,win,0.7676767676767676,2,classification
selector,0.7575757575757576,openml_vehicle,0.010101010101010055,False,accuracy,win,0.7676767676767676,2,classification
standard,0.9941753856110451,openml_wdbc,0.000862905835400829,False,auroc,win,0.995038291446446,0,classification
robust,0.9953618811347211,openml_wdbc,-0.0003235896882751721,False,auroc,loss,0.995038291446446,0,classification
selector,0.9953618811347211,openml_wdbc,-0.0003235896882751721,False,auroc,loss,0.995038291446446,0,classification
standard,0.9927472527472527,openml_wdbc,0.003296703296703285,False,auroc,win,0.996043956043956,1,classification
robust,0.9926373626373626,openml_wdbc,0.003406593406593439,False,auroc,win,0.996043956043956,1,classification
selector,0.9853846153846154,openml_wdbc,0.0106593406593406,False,auroc,win,0.996043956043956,1,classification
standard,0.989176570458404,openml_wdbc,0.0008488964346350381,False,auroc,win,0.990025466893039,2,classification
robust,0.9909804753820033,openml_wdbc,-0.0009550084889642374,False,auroc,loss,0.990025466893039,2,classification
selector,0.9909804753820033,openml_wdbc,-0.0009550084889642374,False,auroc,loss,0.990025466893039,2,classification
standard,0.7456721592159574,openml_wine_quality,3.4211655730587154e-10,True,rmse,tie,0.7456721588738409,0,regression
robust,0.7456691082058939,openml_wine_quality,-3.0506679469244347e-06,True,rmse,loss,0.7456721588738409,0,regression
selector,0.7456691082058939,openml_wine_quality,-3.0506679469244347e-06,True,rmse,loss,0.7456721588738409,0,regression
standard,0.7233485834084828,openml_wine_quality,5.537664771182449e-10,True,rmse,tie,0.7233485828547164,1,regression
robust,0.7233448242574403,openml_wine_quality,-3.7585972760822983e-06,True,rmse,loss,0.7233485828547164,1,regression
selector,0.7233485834084828,openml_wine_quality,5.537664771182449e-10,True,rmse,tie,0.7233485828547164,1,regression
standard,0.7511735084829808,openml_wine_quality,-1.4176241291963265e-09,True,rmse,loss,0.7511735099006049,2,regression
robust,0.7511763859802935,openml_wine_quality,2.8760796885185513e-06,True,rmse,win,0.7511735099006049,2,regression
selector,0.7511763859802935,openml_wine_quality,2.8760796885185513e-06,True,rmse,win,0.7511735099006049,2,regression
