accuracy,auroc,benchmark,dataset_kind,diagnostic_error,mae,metrics_path,n_test,n_train,public_source,ranc_downgrades,ranc_drift_monitors,ranc_fit_samples,ranc_hard_failures,ranc_ledger_rows,ranc_max_drift_estimate,ranc_passed,ranc_policy_summary,ranc_rejected_candidates,ranc_sparse_failures,ranc_train_only_fit,rmse,scaler,seed,selected_scaler,sparse_input,sparse_output,split_strategy,task,test_density_after,test_density_before,test_nnz_after,test_nnz_before,test_nnz_delta,train_density_after,train_density_before,train_nnz_after,train_nnz_before,train_nnz_delta
0.7371428571428571,0.7593808630393994,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_0/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,none,0,,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.74,0.7522279549718575,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_0/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,standard,0,,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.7371428571428571,0.7582473420888055,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_0/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,robust,0,,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.7257142857142858,0.7512507817385866,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_0/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,maxabs,0,,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.7428571428571429,0.7489837398373984,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_0/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,quantile,0,,False,False,random,classification,0.2983606557377049,0.32786885245901637,6370.0,7000.0,-630.0,0.2995208070617907,0.32786885245901637,11876.0,13000.0,-1124.0
0.7371428571428571,0.7582473420888055,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_0/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,selector,0,robust,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.7342857142857143,0.7521497811131957,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_0/metrics.csv,350.0,650.0,uci_via_openml,0.0,61.0,650.0,0.0,45.0,1.349,True,"maxabs:18, robust_affine:37, zscore:6",237.0,0.0,,,ranc,0,,False,False,random,classification,0.2989695550351288,0.32786885245901637,6383.0,7000.0,-617.0,0.2987641866330391,0.32786885245901637,11846.0,13000.0,-1154.0
0.7685714285714286,0.7627576462765957,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_1/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,none,1,,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.7628571428571429,0.7569398271276596,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_1/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,standard,1,,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.7714285714285715,0.7637549867021276,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_1/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,robust,1,,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.76,0.7691156914893619,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_1/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,maxabs,1,,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.7714285714285715,0.7620927526595744,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_1/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,quantile,1,,False,False,random,classification,0.29939110070257613,0.32786885245901637,6392.0,7000.0,-608.0,0.2989911727616646,0.32786885245901637,11855.0,13000.0,-1145.0
0.76,0.7691156914893619,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_1/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,selector,1,maxabs,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.7657142857142857,0.7556931515957447,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_1/metrics.csv,350.0,650.0,uci_via_openml,0.0,61.0,650.0,0.0,46.0,0.6745,True,"maxabs:17, robust_affine:38, zscore:6",239.0,0.0,,,ranc,1,,False,False,random,classification,0.2994847775175644,0.32786885245901637,6394.0,7000.0,-606.0,0.29848675914249684,0.32786885245901637,11835.0,13000.0,-1165.0
0.7371428571428571,0.7846884541445212,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_2/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,none,2,,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.7314285714285714,0.7766971992913415,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_2/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,standard,2,,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.7285714285714285,0.7827283350295903,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_2/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,robust,2,,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.74,0.7788080967997285,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_2/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,maxabs,2,,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.7342857142857143,0.7706283689547289,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_2/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,quantile,2,,False,False,random,classification,0.2990632318501171,0.32786885245901637,6385.0,7000.0,-615.0,0.29881462799495584,0.32786885245901637,11848.0,13000.0,-1152.0
0.7314285714285714,0.7766971992913415,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_2/metrics.csv,350.0,650.0,uci_via_openml,,,,,,,,,,,,,selector,2,standard,False,False,random,classification,0.32786885245901637,0.32786885245901637,7000.0,7000.0,0.0,0.32786885245901637,0.32786885245901637,13000.0,13000.0,0.0
0.7314285714285714,0.7761317803158807,openml_credit_g,openml,,,outputs/openml/runs/openml_credit_g/seed_2/metrics.csv,350.0,650.0,uci_via_openml,0.0,61.0,650.0,0.0,45.0,0.6745,True,"maxabs:18, robust_affine:37, zscore:6",237.0,0.0,,,ranc,2,,False,False,random,classification,0.29859484777517564,0.32786885245901637,6375.0,7000.0,-625.0,0.2989659520807062,0.32786885245901637,11854.0,13000.0,-1146.0
0.9137181874612043,0.9643317068182616,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_0/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,none,0,,False,False,random,classification,0.22550012523549717,0.22550012523549717,20707.0,20707.0,0.0,0.22604001642903246,0.22604001642903246,38524.0,38524.0,0.0
0.909993792675357,0.963173334100256,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_0/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,standard,0,,False,False,random,classification,0.22550012523549717,0.22550012523549717,20707.0,20707.0,0.0,0.22604001642903246,0.22604001642903246,38524.0,38524.0,0.0
0.9124767225325885,0.9650938361789358,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_0/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,robust,0,,False,False,random,classification,0.22550012523549717,0.22550012523549717,20707.0,20707.0,0.0,0.22604001642903246,0.22604001642903246,38524.0,38524.0,0.0
0.8789571694599627,0.9390648017664784,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_0/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,maxabs,0,,False,False,random,classification,0.22550012523549717,0.22550012523549717,20707.0,20707.0,0.0,0.22604001642903246,0.22604001642903246,38524.0,38524.0,0.0
0.9410304158907511,0.9814181038477147,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_0/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,quantile,0,,False,False,random,classification,0.22278850447036275,0.22550012523549717,20458.0,20707.0,-249.0,0.22335269612157485,0.22604001642903246,38066.0,38524.0,-458.0
0.9416511483550589,0.9807742083920509,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_0/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,selector,0,power,False,False,random,classification,1.0,0.22550012523549717,91827.0,20707.0,71120.0,1.0,0.22604001642903246,170430.0,38524.0,131906.0
0.9130974549968963,0.9642102774023052,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_0/metrics.csv,1611.0,2990.0,uci_via_openml,0.0,57.0,2990.0,0.0,56.0,0.2561392405063291,True,"maxabs:5, robust_affine:52",270.0,0.0,,,ranc,0,,False,False,random,classification,0.22485761268472235,0.22550012523549717,20648.0,20707.0,-59.0,0.22552367540925894,0.22604001642903246,38436.0,38524.0,-88.0
0.9199255121042831,0.9698617373296446,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_1/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,none,1,,False,False,random,classification,0.2273732126716543,0.2273732126716543,20879.0,20879.0,0.0,0.22503080443583875,0.22503080443583875,38352.0,38352.0,0.0
0.9224084419615146,0.9681753348075395,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_1/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,standard,1,,False,False,random,classification,0.2273732126716543,0.2273732126716543,20879.0,20879.0,0.0,0.22503080443583875,0.22503080443583875,38352.0,38352.0,0.0
0.9224084419615146,0.9704249351445009,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_1/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,robust,1,,False,False,random,classification,0.2273732126716543,0.2273732126716543,20879.0,20879.0,0.0,0.22503080443583875,0.22503080443583875,38352.0,38352.0,0.0
0.8913718187461204,0.949797216877427,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_1/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,maxabs,1,,False,False,random,classification,0.2273732126716543,0.2273732126716543,20879.0,20879.0,0.0,0.22503080443583875,0.22503080443583875,38352.0,38352.0,0.0
0.9354438237119801,0.9804508135256823,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_1/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,quantile,1,,False,False,random,classification,0.22479227242532152,0.2273732126716543,20642.0,20879.0,-237.0,0.22227307398932114,0.22503080443583875,37882.0,38352.0,-470.0
0.9354438237119801,0.9804508135256823,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_1/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,selector,1,quantile,False,False,random,classification,0.22479227242532152,0.2273732126716543,20642.0,20879.0,-237.0,0.22227307398932114,0.22503080443583875,37882.0,38352.0,-470.0
0.9168218497827436,0.9679152746267419,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_1/metrics.csv,1611.0,2990.0,uci_via_openml,0.0,57.0,2990.0,0.0,55.0,0.2698,True,"maxabs:6, robust_affine:51",267.0,0.0,,,ranc,1,,False,False,random,classification,0.22712274167728447,0.2273732126716543,20856.0,20879.0,-23.0,0.22474916387959867,0.22503080443583875,38304.0,38352.0,-48.0
0.9174425822470516,0.9710734011046185,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_2/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,none,2,,False,False,random,classification,0.22767813388219152,0.22767813388219152,20907.0,20907.0,0.0,0.22486651411136538,0.22486651411136538,38324.0,38324.0,0.0
0.9162011173184358,0.9691795405427039,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_2/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,standard,2,,False,False,random,classification,0.22767813388219152,0.22767813388219152,20907.0,20907.0,0.0,0.22486651411136538,0.22486651411136538,38324.0,38324.0,0.0
0.9180633147113594,0.9708748899383655,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_2/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,robust,2,,False,False,random,classification,0.22767813388219152,0.22767813388219152,20907.0,20907.0,0.0,0.22486651411136538,0.22486651411136538,38324.0,38324.0,0.0
0.88268156424581,0.9436612503001681,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_2/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,maxabs,2,,False,False,random,classification,0.22767813388219152,0.22767813388219152,20907.0,20907.0,0.0,0.22486651411136538,0.22486651411136538,38324.0,38324.0,0.0
0.9397889509621353,0.983153766109021,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_2/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,quantile,2,,False,False,random,classification,0.2251516438520261,0.22767813388219152,20675.0,20907.0,-232.0,0.22207944610690605,0.22486651411136538,37849.0,38324.0,-475.0
0.9397889509621353,0.983153766109021,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_2/metrics.csv,1611.0,2990.0,uci_via_openml,,,,,,,,,,,,,selector,2,quantile,False,False,random,classification,0.2251516438520261,0.22767813388219152,20675.0,20907.0,-232.0,0.22207944610690605,0.22486651411136538,37849.0,38324.0,-475.0
0.9130974549968963,0.9711022172416554,openml_spambase,openml,,,outputs/openml/runs/openml_spambase/seed_2/metrics.csv,1611.0,2990.0,uci_via_openml,0.0,57.0,2990.0,0.0,55.0,0.188431746031746,True,"maxabs:5, robust_affine:52",270.0,0.0,,,ranc,2,,False,False,random,classification,0.2274167728445882,0.22767813388219152,20883.0,20907.0,-24.0,0.22450272839288857,0.22486651411136538,38262.0,38324.0,-62.0
,,openml_wine_quality,openml,,0.584899678989174,outputs/openml/runs/openml_wine_quality/seed_0/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7470260900776401,none,0,,False,False,random,regression,0.9977212760853922,0.9977212760853922,24957.0,24957.0,0.0,0.9979764493143608,0.9979764493143608,46359.0,46359.0,0.0
,,openml_wine_quality,openml,,0.5835823047334835,outputs/openml/runs/openml_wine_quality/seed_0/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7456721592159574,standard,0,,False,False,random,regression,0.9977212760853922,0.9977212760853922,24957.0,24957.0,0.0,0.9979764493143608,0.9979764493143608,46359.0,46359.0,0.0
