accuracy,auroc,contract_correct,contract_scenario,contract_secondary_violation,contract_violation_rate,hard_failures,ledger_rows,n_test,n_train,non_tail_mean_probability,non_tail_predicted_positive_rate,rare_positive_recall,scaler,scenario,seed,tail_count,tail_false_positive_rate,tail_label_rate,tail_mean_probability,tail_predicted_positive_rate,tail_probability_gap,x0_policy
0.6607142857142857,0.6852022058823529,,,0.06303384028184517,0.3147977941176471,0.0,0.0,280.0,520.0,0.47956214892669274,0.4461538461538462,0.7142857142857143,none,noise,0,20.0,0.5,0.7,0.5425959892085379,0.65,0.06303384028184517,
0.6607142857142857,0.6851000816993463,,,0.0623502426302911,0.31489991830065367,0.0,0.0,280.0,520.0,0.47960850235130603,0.4461538461538462,0.7142857142857143,standard,noise,0,20.0,0.5,0.7,0.5419587449815971,0.65,0.0623502426302911,
0.6607142857142857,0.6851511437908498,,,0.06295611699110193,0.31484885620915015,0.0,0.0,280.0,520.0,0.479609389805581,0.4461538461538462,0.7142857142857143,robust,noise,0,20.0,0.5,0.7,0.5425655067966829,0.65,0.06295611699110193,
0.6964285714285714,0.7531147875816993,,,0.39144129718295917,0.24688521241830075,0.0,0.0,280.0,520.0,0.4618644025877827,0.3730769230769231,1.0,winsor,noise,0,20.0,1.0,0.7,0.8533056997707419,1.0,0.39144129718295917,
0.7607142857142857,0.8163807189542482,,,0.4145171744237687,0.18361928104575176,0.0,0.0,280.0,520.0,0.455367638055994,0.4423076923076923,1.0,quantile,noise,0,20.0,1.0,0.7,0.8698848124797627,1.0,0.4145171744237687,
0.6821428571428572,0.7268688725490197,True,noise,0.2677118158755819,0.27313112745098034,0.0,1.0,280.0,520.0,0.46818954806838986,0.4115384615384615,1.0,ranc,noise,0,20.0,1.0,0.7,0.7359013639439718,1.0,0.2677118158755819,log1p
0.6821428571428572,0.7268688725490197,True,noise,0.2677118158755819,0.27313112745098034,0.0,1.0,280.0,520.0,0.46818954806838986,0.4115384615384615,1.0,ranc_correct,noise,0,20.0,1.0,0.7,0.7359013639439718,1.0,0.2677118158755819,log1p
0.6607142857142857,0.6851000816993463,False,signal,0.06234903334300551,0.31489991830065367,0.0,1.0,280.0,520.0,0.4796083724341121,0.4461538461538462,0.7142857142857143,ranc_wrong_noise,noise,0,20.0,0.5,0.7,0.5419574057771176,0.65,0.06234903334300551,zscore
0.6857142857142857,0.7493197802761948,,,0.0,0.0,0.0,0.0,280.0,520.0,0.44407692796754983,0.4128787878787879,1.0,none,signal,0,16.0,1.0,0.875,0.9056924163900362,1.0,0.46161548842248634,
0.6857142857142857,0.7485497202115099,,,0.0,0.0,0.0,0.0,280.0,520.0,0.4448049467718868,0.4128787878787879,1.0,standard,signal,0,16.0,1.0,0.875,0.8799609165669771,1.0,0.43515596979509025,
0.6857142857142857,0.7495251296267775,,,0.0,0.0,0.0,0.0,280.0,520.0,0.4439114733369721,0.4128787878787879,1.0,robust,signal,0,16.0,1.0,0.875,0.9063912443696778,1.0,0.46247977103270566,
0.6892857142857143,0.7495251296267775,,,0.0,0.0,0.0,0.0,280.0,520.0,0.44431190040487184,0.4166666666666667,1.0,winsor,signal,0,16.0,1.0,0.875,0.9045168386115083,1.0,0.4602049382066365,
0.6785714285714286,0.7529647312490374,,,0.0,0.4285714285714286,0.0,0.0,280.0,520.0,0.46378704249194125,0.4356060606060606,0.5714285714285714,quantile,signal,0,16.0,0.0,0.875,0.5638828599806143,0.5,0.10009581748867302,
0.6857142857142857,0.7485497202115099,True,signal,0.0,0.0,0.0,1.0,280.0,520.0,0.44480994546982,0.4128787878787879,1.0,ranc,signal,0,16.0,1.0,0.875,0.879921204248238,1.0,0.43511125877841805,zscore
0.6857142857142857,0.7485497202115099,True,signal,0.0,0.0,0.0,1.0,280.0,520.0,0.44480994546982,0.4128787878787879,1.0,ranc_correct,signal,0,16.0,1.0,0.875,0.879921204248238,1.0,0.43511125877841805,zscore
